course_number,course_name,times,days,instructors
MATH:0100:0221,Basic Algebra I,2:30P - 3:20P,MWF,"Instructors:Ethan Rooke(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:0100:0331,Basic Algebra I,3:30P - 4:20P,MWF,"Instructors:George Clare Kennedy(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0073,College Algebra,7:30A - 8:20A,MTWTh,"Instructors:Elise Askelsen(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0083,College Algebra,8:30A - 9:20A,MTWTh,"Instructors:Kerry Tarrant(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0084,College Algebra,4:30P - 5:20P,MTWTh,"Instructors:Claire Christian(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0091,College Algebra,9:30A - 10:20A,MTWTh,"Instructors:Edward White(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0101,College Algebra,1:30P - 2:20P,MTWTh,"Instructors:Sreshta Venkatakrishnan(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0111,College Algebra,11:30A - 12:20P,MTWTh,"Instructors:Yuan Yao(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0112,College Algebra,10:30A - 11:20A,MTWTh,"Instructors:Anna Leinheiser(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0121,College Algebra,12:30P - 1:20P,MTWTh,"Instructors:Juan Felipe Ariza Mejia(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0122,College Algebra,3:30P - 4:20P,MTWTh,"Instructors:Kit Fynaardt(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0123,College Algebra,8:30A - 9:20A,MTWTh,"Instructors:Kevin Del Real Ramos(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0124,College Algebra,11:30A - 12:20P,MTWTh,"Instructors:Parker Evans(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0231,College Algebra,2:30P - 3:20P,MTWTh,"Instructors:Cynthia Farthing(Primary Instructor)"
MATH:1005:0232,College Algebra,12:30P - 1:20P,MTWTh,"Instructors:Matthew Barber(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0233,College Algebra,1:30P - 2:20P,MTWTh,"Instructors:Daehan Choi(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0331,College Algebra,3:30P - 4:20P,MTWTh,"Instructors:Joe Starr(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0431,College Algebra,11:30A - 12:20P,MTWTh,"Instructors:Natalie Randall(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0433,College Algebra,1:30P - 2:20P,MTWTh,"Instructors:Jinyang Wu(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1005:0632,College Algebra,2:30P - 3:20P,MTWTh,"Instructors:Adriana Fernandez I Quero(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1010:0231,Trigonometry,2:30P - 3:20P,MWF,"Instructors:Quentin Chediak(Primary Instructor),Olga Sokratova(Course Supervisor)"
